<<<<<<< HEAD
,orig_town,town,county,state,name_type
0,Hartford,Hartford,Hartford County,CT,town
1,Bolton,Bolton,Tolland County,CT,town
2,Rhode Island,,,RI,state
5,Wethersfield,Wethersfield,Hartford County,CT,town
6,Lyme,Lyme,New London County,CT,town
8,New Haven,New Haven,New Haven County,CT,town
9,Farmington,Farmington,Hartford County,CT,town
10,New London,New London,New London County,CT,town
14,Cornwall,Cornwall,Litchfield County,CT,town
18,Stamford,Stamford,Fairfield County,CT,town
20,East Hartford,East Hartford,Hartford County,CT,town
22,Bristol,Bristol,Hartford County,CT,town
24,Lebanon,Lebanon,New London County,CT,town
25,Windsor,Windsor,Hartford County,CT,town
26,Southhampton,Hampton,Windham County,CT,town
27,Suffield,Suffield,Hartford County,CT,town
30,Chatham,Chatham,Middlesex County,CT,town
32,Berlin,Berlin,Hartford County,CT,town
33,Glastonbury,Glastonbury,Hartford County,CT,town
35,Saybrook,Saybrook,Middlesex County,CT,town
37,Stafford,Stamford,Tolland County,CT,town
40,Hebron,Hebron,Tolland County,CT,town
41,Middletown,Middletown,Middlesex County,CT,town
45,East Windsor,East Windsor,Hartford County,CT,town
49,Boston,Boston,Suffolk County,MA,town
51,Norwich,Norwich,New London County,CT,town
53,Springfield,Springfield,Hampshire County,MA,town
59,Preston,Preston,New London County,CT,town
61,Sharon,Sharon,Litchfield County,CT,town
63,Somers,Somers,Tolland County,CT,town
66,Goshen,Goshen,Litchfield County,CT,town
68,Torrington,Torrington,Litchfield County,CT,town
71,Watertown,Watertown,Litchfield County,CT,town
77,Stonington,Stonington,New London County,CT,town
78,Colchester,Colchester,New London County,CT,town
84,Fairfield,Fairfield,Fairfield County,CT,town
86,Guilford,Guilford,New Haven County,CT,town
90,Enfield,Enfield,Hartford County,CT,town
92,Plainfield,Plainfield,Windham County,CT,town
97,Coventry,Coventry,Tolland County,CT,town
102,State of New York,,,NY,state
105,Groton,Groton,New London County,CT,town
109,Mansfield,Mansfield,Tolland County,CT,town
118,Bozrah,Bozrah,New London County,CT,town
119,Derby,Derby,New Haven County,CT,town
130,Huntington,Huntington,Fairfield County,CT,town
131,Woodstock,Woodstock,Windham County,CT,town
133,Windham,Windham,Windham County,CT,town
147,Stratford,Stratford,Fairfield County,CT,town
159,Brooklyn,Brooklyn,Windham County,CT,town
167,State of Vermont,,,VT,state
168,Haddam,Haddam,Middlesex County,CT,town
177,Tolland,Tolland,Tolland County,CT,town
178,Danbury,Danbury,Fairfield County,CT,town
187,Newington,Newington,Hartford County,CT,town
191,Litchfield,Litchfield,Litchfield County,CT,town
204,Tyringham MA,Tyringham,Berkshire County,MA,town
206,Milford,Milford,New Haven County,CT,town
211,Pomfret,Pomfret,Windham County,CT,town
223,Killingworth,Killingworth,Middlesex County,CT,town
227,Sturbridge MA,Sturbridge MA,Worcester County,MA,town
244,Newport State of Rhode Island,,Newport County,RI,state
248,Granby,Granby,Hartford County,CT,town
271,Roxbury,Roxbury,Litchfield County,CT,town
273,New Hartford,Hartford,Litchfield County,CT,town
296,Northampton,Hampton,Windham County,CT,town
302,East Haddam,Haddam,Middlesex County,CT,town
315,Greenwich,Greenwich,Fairfield County,CT,town
320,New Milford,New Milford,Litchfield County,CT,town
