,Full Name,state,Total
0,Aaron Bourn,RI,309.55
1,Aaron Cadwell II,CT,13.88
2,Aaron Colvin,RI,79.05
3,Aaron Forbes,CT,9230.0
4,Aaron Kitchel,NJ,276.0
5,Aaron Loocock,SC,1700.0
6,Aaron Malich,NJ,282.21
7,Aaron Mason,RI,169.97
8,Aaron Olmsted,CT,35.41
9,Abbey Willing,PA,2169.3
10,Abgail Ellsworth,CT,848.46
11,Abiel Smith,RI,972.53
12,Abigail Ash,PA,198.66
13,Abigail Ball,NH,149.81
14,Abigail Bulkley,CT,555.93
15,Abigail Keyes,CT,154.44
16,Abigail Prime,MA,108.28
17,Abigail Robbins,CT,93.19
18,Abigail Watson,CT,2065.2
19,Abner Andruss,CT,59.66
20,Abner Butler,RI,17.72
21,Abner Daggatt,RI,140.85
22,Abner Daggett,RI,1384.57
23,Abner Johnson,CT,337.83
24,Abner Sage,CT,39.33
25,Abraham Barker,RI,21.3
26,Abraham Raiguel,PA,3260.27
27,Abraham Sheridan,PA,156.22
28,Abraham Walker,RI,196.66
29,Abraham Wilt,PA,6126.3
30,Abrham Blumer,PA,182.33
31,Achilles Mansfield,CT,300.0
32,Adam Crain Jones,SC,72.63
33,Adam Gilchrist,PA,37557.6792
34,Adam Harbeson,PA,373.15
35,Adam Hope,NC,1685.77
36,Adrian Valck,MD,13205.24
37,Agness Grier,PA,900.48
38,Agness ann,PA,883.63
39,Albert Aerny Muller,SC,12.54
40,Alexander Bose,SC,6.9962
41,Alexander Gillon,SC,80.0
42,Alexander Hamilton,MD,4778.24
43,Alexander Nelson,NC,31.56
44,Alexander Rose,SC,1490.09
45,Alexander Warfield,MD,167.25
46,Alfred Elderkin,CT,4.72
47,Alpha Child,CT,65.87
48,Amarinthia Elliott,SC,546.88
49,Amasa Keyes,CT,1020.72
50,Amaziah Chappel,CT,3.26
51,Amme Bucklin,RI,89.01
52,Amos Attwell,RI,233.34
53,Amos Horton,RI,1999.99
54,Amos Lockwood,RI,50.05
55,Amos Lyon,CT,612.31
56,Amos Moody,NH,96.25
57,Amos Throop,RI,1662.65
58,Amos White,CT,536.05
59,Andew Brown,RI,426.48
60,Andrew Baille,MD,8.46
61,Andrew Craigie,NY,594.3
62,Andrew Dexter,RI,1125.41
63,Andrew Douglass,PA,515.26
64,Andrew McFarlane,PA,662.66
65,Andrew Pettit,PA,1279.66
66,Andrew Rowland,CT,351.27
67,Andrew Summers,PA,18350.12
68,Andrew Waterman,RI,196.62
69,Ann Brodean,PA,615.18
70,Ann Burt,RI,300.0
71,Ann Cook,PA,189.33
72,Ann Cordes,SC,254.58
73,Ann Cuttino,SC,24.99
74,Ann Forde,PA,112.32
75,Ann Fromberger,PA,6400.08
76,Ann Gaither,MD,292.66
77,Ann Garston,MD,25.2
78,Ann Gibson,PA,1962.34
79,Ann Moratt,PA,426.91
80,Ann Price,SC,1385.936363
81,Ann Weaver,PA,234.28
82,Anna Sims,NH,380.6
83,Anne Brooker,CT,52.32
84,Anne Jones,PA,439.26
85,Anne Maria,PA,255.77
86,Anne McCurdy,CT,15618.6
87,Anne Wikoff,PA,2259.73
88,Appha Loomis,CT,1031.53
89,Archibald Crary,RI,451.58
90,Archibald Engle,PA,290.94
91,Archibald Golder,MD,164.36
92,Archibald Gracie,VA,58.69
93,Archibald Harvey,SC,11.49
94,Archibald Hervey,SC,33.8406
95,Archibald Munro,RI,70.58
96,Archibald Stewart,RI,216.44
97,Ariana Walter,MD,176.84
98,Ariel Laurence,CT,78.42
99,Aron Lanham,MD,97.14
100,Arthur Harper,SC,100.0
101,Asa Hopkins,CT,11.44
102,Asa Leonard,RI,161.42
103,Asa Martin,RI,722.04
104,Asa Platt,CT,133.31
105,Asa Stevens,VT,45.72
106,Asahel Carpenter,MA,15.0
107,Ashbel King,CT,146.66
108,Asher Robbins,RI,215.68
109,Asiel Meraman,CT,824.83
110,Assheton Humphreys,PA,87.08
111,Augustus Blanchard,NH,177.36
112,Bank of Providence,RI,360.0
113,Barbara Sivert,PA,62.08
114,Bartholomew Terrason,PA,221.07
