,state,Loan Office Certificates Specie Value,State Liquidated Debt Dollars,Pierce Certificates Value,pre1790 total,ASD Total,CD Total,post1790 total,pre1790 pct,post1790 pct,total asset dif,total asset dif (adj),total asset dif (pct),Loan Office pct,State Liquidated pct,Pierce pct,CD pct,ASD pct
0,PA,3778570.27,2257929.43,1147498.52,7183998.22,0.0,2952380.76,2952380.76,26.75,20.39,-4231617.46,-1705820.43,-6.35,0.38,0.26,0.14,0.26,0.0
1,MA,2387481.08,457823.49,2217598.9,5062903.47,0.0,0.0,0.0,18.85,0.0,-5062903.47,-5062903.47,-18.85,0.24,0.05,0.27,0.0,0.0
2,CT,1275499.48,135432.22,1137988.73,2548920.43,366794.04,1389315.78,1756109.82,9.49,12.13,-792810.61,709562.33,2.64,0.13,0.02,0.14,0.12,0.11
3,NY,922005.66,3649822.51,774934.83,5346763.0,1408932.24,1926464.36,3335396.6,19.91,23.04,-2011366.4,842105.26,3.14,0.09,0.42,0.09,0.17,0.44
4,NJ,651204.36,1768007.24,513348.62,2932560.22,0.0,0.0,0.0,10.92,0.0,-2932560.22,-2932560.22,-10.92,0.06,0.21,0.06,0.0,0.0
5,MD,404704.96,0.0,550014.8,954719.76,143823.61,1447729.9,1591553.51,3.55,10.99,636833.75,1998426.8,7.44,0.04,0.0,0.07,0.13,0.04
6,NH,300171.07,13826.44,380285.9,694283.41,0.0,307782.89,307782.89,2.58,2.13,-386500.52,-123188.58,-0.46,0.03,0.0,0.05,0.03,0.0
7,VA,235249.6,0.0,653914.72,889164.32,264976.95,859264.17,1124241.12,3.31,7.77,235076.8,1196878.52,4.46,0.02,0.0,0.08,0.08,0.08
8,DE,66387.12,136305.94,130868.22,333561.28,0.0,0.0,0.0,1.24,0.0,-333561.28,-333561.28,-1.24,0.01,0.02,0.02,0.0,0.0
9,RI,0.0,183000.46,81210.76,264211.22,64363.22,814182.09,878545.31,0.98,6.07,614334.09,1365940.1,5.09,0.0,0.02,0.01,0.07,0.02
10,NC,0.0,0.0,329382.65,329382.65,48217.38,54449.53,102666.91,1.23,0.71,-226715.74,-138882.97,-0.52,0.0,0.0,0.04,0.0,0.02
11,CS,0.0,0.0,150384.71,150384.71,0.0,0.0,0.0,0.56,0.0,-150384.71,-150384.71,-0.56,0.0,0.0,0.02,0.0,0.0
12,GA,0.0,0.0,93226.85,93226.85,0.0,2111.52,2111.52,0.35,0.01,-91115.33,-89308.9,-0.33,0.0,0.0,0.01,0.0,0.0
13,F,0.0,0.0,76532.18,76532.18,0.0,0.0,0.0,0.28,0.0,-76532.18,-76532.18,-0.28,0.0,0.0,0.01,0.0,0.0
14,SC,0.0,0.0,0.0,0.0,904046.42,1521284.09,2425330.51,0.0,16.75,2425330.51,,16.75,0.0,0.0,0.0,0.13,0.28
