,,,Dollars,Dollars,90th,90th
,,,sum,count,sum,count
delegate name,delegate_state,sign,,,,
Brown John,RI,yes,262.0,1,0.0,0
David Bell,VA,no,108.0,1,14.0,1
David Rice,NC,yes,76.0,1,10.0,1
Davis John,RI,yes,35.0,1,25.0,1
James Neal,MA,no,42.0,1,24.0,1
John Brown,NC,no,262.0,1,0.0,0
John Davis,MA,yes,35.0,1,25.0,1
John Dunlap,MA,yes,1.0,1,85.0,1
John Hunter,SC,yes,310.0,1,51.0,1
John Jones,DE,yes,77.0,2,85.0,2
John K. Smith,MA,yes,23.0,1,85.0,1
John Rhea,NC,yes,43.0,1,57.0,1
John Smith,NY,yes,23.0,1,85.0,1
John Taylor,MA,no,72.0,1,45.0,1
John Williams,VA,yes,28.0,2,111.0,2
Jonathan Smith,MA,no,106.0,2,147.0,2
Samuel Johnston,NC,yes,52.0,1,45.0,1
Thomas Jones,MA,yes,95.0,1,62.0,1
William Hart,CT,yes,45.0,1,65.0,1
William Jones,MA,no,1871.0,5,132.0,2
William Morris,MD,yes,471.0,3,4.0,1
William Samuel Johnson,Constitution,yes,52.0,1,45.0,1
William Scott,SC,yes,84.0,1,10.0,1
William Smith,SC,yes,636.0,1,72.0,1
Williams John,RI,no,28.0,2,111.0,2
