,,,Dollars,Dollars,90th,90th
,,,sum,count,sum,count
delegate name,delegate_state,sign,,,,
Abraham Smith,MA,no,4.0,1,0,0
Abraham Stout,PA,yes,14.0,2,136.0,2
Albert Baker,NY,no,28.0,1,0,0
Alexander Hamilton,Constitution,yes,160.0,1,0,0
Alexander Martin,Constitution,no,124.0,2,110.0,2
Allen Samuel,RI,yes,18.0,4,67.0,2
Allen Thomas,RI,yes,4.0,3,71.0,3
Andrew Moore,VA,yes,95.0,1,21.0,1
Anthony Ten Eyck,NY,did not vote,8.0,1,22,1
Arnold Benjamin,RI,yes,37.0,1,54.0,1
Asa Witter,CT,yes,1.0,1,22.0,1
Asher Miller,CT,yes,41.0,4,135.0,3
Barker Joshua,RI,yes,40.0,1,0,0
Barker Peter,RI,yes,1.0,1,86.0,1
Barton William,RI,yes,46.0,2,89.0,2
Benjamin Bellows,NH,yes,156.0,1,22.0,1
Benjamin Elliott,PA,yes,10.0,1,30.0,1
Benjamin Hicks,SC,yes,5.0,1,5,1
Benjamin Jones,NC,no,49.0,1,30.0,1
Benjamin Morse,MA,no,184.0,1,0,0
Benjamin Sheldon,MA,yes,52.0,1,72.0,1
Benjamin Smith,SC,yes,1160.0,14,243.0,6
Benjamin Temple,VA,no,781.0,4,144.0,4
Benjamin Thurston,NH,yes,24.0,1,26,1
Bourne Benjamin,RI,yes,14.0,6,88.0,4
Bradford William,RI,yes,184.0,5,164.0,3
Brown Elisha,RI,no,13.0,3,121.0,3
Brown John,RI,yes,1204.0,13,379.0,10
Champlin George,RI,yes,16.0,4,22.0,1
Charles Burrall,CT,yes,25.0,1,34.0,1
Charles Phelps,CT,yes,10.0,1,0,0
Clarke Peleg,RI,yes,785.0,8,110.0,5
Comstock Betts,MA,no,35.0,1,0,0
Congdon William,RI,no,16.0,2,0,0
Cornelius Higgins,CT,yes,1.0,1,23.0,1
Daniel Adams,MA,no,370.0,2,22,1
Daniel Cannon,SC,yes,0.0,0,0,0
Daniel Everitt,CT,yes,1.0,1,23.0,1
Daniel Hall,CT,no,25.0,2,61,1
Daniel Holbrook,CT,yes,84.0,4,23.0,1
Daniel Miles,CT,yes,99.0,4,211.0,4
Daniel Smith,NC,yes,724.0,9,375.0,6
Daniel Whitney,MA,yes,18.0,1,67.0,1
David Brearley,NJ,yes,12.0,1,45.0,1
David Brearly,Constitution,yes,12.0,1,45.0,1
David Brown,MA,no,468.0,4,102.0,3
David Caldwell,NC,yes,5.0,2,85.0,2
David Deshler,PA,yes,15578.0,11,339.0,9
David Grier,PA,yes,196.0,3,72.0,2
David Hopkins,NY,no,161.0,1,22,1
David Murray,MA,no,128.0,1,0,0
David Smith,CT,yes,310.0,9,198.0,5
David Todd,CT,no,37.0,1,30.0,1
David Wilson,NC,yes,27.0,1,52.0,1
Davis John,RI,yes,2166.0,10,512.0,10
Dexter John S,RI,yes,17.0,2,80.0,1
Durfree Job,RI,did not vote,7.0,2,26.0,2
Ebenezer Clark,NY,no,18.0,1,45,1
Ebenezer Wales,MA,yes,133.0,1,45.0,1
Ebenezer Warren,MA,yes,292.0,2,60.0,1
Ebenezer White,CT,yes,121.0,2,75.0,2
Edward Ward,NC,yes,731.0,5,157.0,5
Edward White,DE,yes,27.0,1,11,1
Elbridge Gerry,Constitution,no,10100.0,1,0,0
Elihu Marvin,CT,no,22.0,1,0,0
Elisha Carpenter,MA,yes,1.0,1,89.0,1
Elisha Lawrence,NJ,yes,393.0,2,91.0,2
Elisha Pitkin,CT,yes,1.0,1,23.0,1
Enoch Edwards,PA,yes,40.0,1,0,0
Enoch Sawyer,NC,yes,23.0,2,67.0,2
Ephraim Carpenter,CT,no,201.0,2,77.0,1
Ephraim Root,CT,yes,7.0,2,45.0,1
Ephraim Williams,MA,no,41.0,1,10.0,1
Francis Dana,MA,yes,586.0,2,86.0,2
French Strother,VA,no,12.0,2,60.0,1
George Clinton,NY,did not vote,1366.0,2,28,2
George Gray,PA,yes,4.0,1,28.0,1
George Mitchell,NC,yes,50.0,1,0,0
George Parker,VA,yes,71.0,1,6.0,1
George Payson,MA,yes,11.0,1,22.0,1
George Read,Constitution,yes,341.0,1,53.0,1
Gideon Buckingham,CT,yes,12.0,1,45.0,1
Greene Job,RI,no,6.0,1,110.0,2
Gunning Bedford Jr.,Constitution,yes,106.0,6,217.0,6
Henry Baker,NC,yes,602.0,4,149.0,3
Henry Hill,NC,no,1.0,1,22.0,1
Henry Hollingsworth,MD,yes,213.0,1,30.0,1
Henry Lane,NC,yes,0.0,0,0,0
Henry Slagle,PA,yes,25.0,1,38.0,1
Henry Wisner,NY,no,795.0,10,282,8
Henry Wynkoop,PA,yes,6.0,1,0,0
Hezekiah Holcomb,CT,no,8.0,2,67.0,1
Hezekiah Lane,CT,yes,8.0,1,67.0,1
Hezekiah Rogers,CT,yes,9.0,1,23,1
Hugh White,SC,no,54.0,2,93.0,2
Hugh Wilson,SC,yes,600.0,1,0,0
Isaac Foot,CT,yes,6.0,2,22.0,1
Isaac Guion,NC,yes,225.0,1,0,0
Isaac Mansfield,MA,yes,5.0,1,0,0
Isaac Parker,SC,yes,114.0,2,88,2
Jabez Chapman,CT,yes,15.0,2,0,0
Jacob Broom,Constitution,yes,2.0,1,78.0,1
Jacob Brown,SC,no,44.0,3,166.0,3
Jacob Johnston,NC,yes,30.0,1,0,0
Jacob Weed,GA,yes,686.0,1,47.0,1
Jacobus Swartwout,NY,no,282.0,2,115,2
James Anderson,NC,yes,120.0,6,128.0,4
James Armstrong,NC,yes,37.0,4,132.0,4
James Black,DE,yes,200.0,8,319.0,5
James Bradford,CT,yes,30.0,1,38.0,1
James Campbell,PA,did not vote,52.0,4,147.0,3
James Clinton,NY,no,788.0,3,179,3
James Craig,SC,no,230.0,5,112.0,3
James Duane,NY,yes,288.0,1,67,1
James Edgar,PA,no,108.0,2,86.0,2
James Gallaway,NC,no,28.0,1,80,1
James Gillespie,NC,no,0.0,0,0,0
James Knox,SC,no,34.0,1,60.0,1
James Marshall,PA,no,533.0,3,140.0,3
James Martin,MD,yes,67.0,4,199.0,3
James Maxwell,GA,yes,48.0,1,35.0,1
James Montgomery,VA,no,263.0,4,88.0,3
James Moore,NC,no,449.0,6,208.0,5
James Morris,PA,yes,8087.0,2,108.0,2
James Porter,NC,no,11.0,1,0,0
James Potter,CT,yes,153.0,3,135.0,3
James Shaw,MD,yes,19.0,2,20.0,1
James Stewart,SC,yes,1786.0,6,131.0,4
James Taylor,VA,yes,102.0,3,96.0,2
James Thomas,RI,no,24.0,2,96.0,2
James Thompson,NC,no,8433.0,17,730.0,12
James Watson,NC,yes,3989.0,2,5,1
James White,NC,yes,214.0,4,87,1
James Williams,MA,no,44.0,1,22.0,1
James Wilson,Constitution,yes,1135.0,18,603.0,10
Jedediah Huntington,CT,yes,294.0,1,84.0,1
Jeremiah Wadsworth,CT,yes,22.0,1,45.0,1
Jesse Woodhull,NY,yes,4880.0,4,0,0
John  Allen,VA,yes,417.0,11,223.0,6
John  Whittlesey,CT,yes,3.0,1,67.0,1
John A. Campbell,NC,no,797.0,8,131.0,4
John Allen,NC,yes,417.0,11,223.0,6
John Allison,PA,yes,32.0,2,39.0,2
John Anderson,NC,yes,338.0,4,165,3
John Ashley,MA,yes,62.0,1,0,0
John Baird,PA,no,70.0,1,0,0
John Baker,NC,yes,185.0,5,89.0,2
John Bay,NY,no,291.0,2,100,2
John Beach,CT,yes,979.0,3,90.0,2
John Bishop,PA,no,1373.0,10,175.0,6
John Black,PA,yes,603.0,6,138.0,4
John Blair,Constitution,yes,139.0,2,0,0
John Blake,SC,yes,827.0,3,177,3
John Boyd,PA,yes,96.0,1,0,0
John Brooks,MA,yes,232.0,5,60.0,1
John Brown,NC,no,1204.0,13,379.0,10
John Cantine,NY,no,32.0,2,67,2
John Carson,NC,yes,1283.0,6,202.0,6
John Chandler,CT,yes,646.0,3,172.0,3
John Chesnut,SC,yes,8.0,2,44.0,2
John Chester,CT,yes,50.0,2,60.0,2
John Chetwood,NJ,yes,3139.0,1,46.0,1
John Cochran,NH,no,158.0,4,111.0,4
John Coffin Jones,MA,yes,34.0,1,30.0,1
John Collins,SC,yes,91.0,1,43,1
John Cook,SC,no,5138.0,6,144.0,5
John Curtiss,CT,yes,201.0,3,45.0,1
"John Davenport, Jun.",CT,yes,40.0,4,173.0,4
John Davis,MA,yes,2166.0,10,512.0,10
John Dickinson,Constitution,yes,73.0,2,67.0,2
John Dunlap,MA,yes,1135.0,4,74.0,2
John Easton,NC,yes,65.0,2,0,0
John Edwards,SC,yes,26.0,2,60.0,1
John Evans,VA,no,724.0,6,129.0,5
John Fell,NJ,yes,26.0,1,84.0,1
John Frey,NY,no,35.0,1,0,0
John Gale,MD,yes,2384.0,7,163,5
John Glaze,SC,yes,56.0,3,139.0,3
