,Name,First Name,Last Name,new_town,county,new_state,country,name_type,Name_Fix
18,John and James Davenport,John and James,Davenport,Stamford,Fairfield County,CT,US,town,James Davenport | John Davenport
113,Eunice and Betsey Wadsworth,Eunice and Betsey,Wadsworth,Hartford,Hartford County,CT,US,town,Betsey Wadsworth | Eunice Wadsworth
114,Joshua Belden and James Wells,Joshua Belden and James Wells,,Wethersfield,Hartford County,CT,US,town,James Wells | Joshua Belden
118,Wheeler Coit | Wheeler Coit Treasurer Preston Co | Wheeler Coit Treasurer of Preston Society Coit Treasurer of Preston Society,Wheeler,Coit,Preston,New London County,CT,US,town,Wheeler Coit
155,Nehemiah Child | Nehemiah Child Society Treasurer | Nehemiah Child Treasurer and Co,Nehemiah,Child,Woodstock,Windham County,CT,US,town,Nehemiah Child
157,Silas Mary Treasurer and Co | Silas May | Silas May Proprietors Treasurer,Silas,May,Woodstock,Windham County,CT,US,town,Silas Mary | Silas May
177,William Joseph and Richard Hart,William Joseph and Richard Hart,,Hartford,Hartford County,CT,US,town,Richard Hart | William Joseph
208,Jonathan Bull | Jonathan Bull Treasurer and Co,Jonathan,Bull,Hartford,Hartford County,CT,US,town,Jonathan Bull
247,Anthony Bradford and Stephen Hall,Anthony Bradford and Stephen Hall,,Plainfield,Windham County,CT,US,town,Anthony Bradford | Stephen Hall
270,Joseph Willcox | Joseph Willcox Guardian and Co | Joseph Willcox Guardian to S Morgan,Joseph,Willcox,Killingworth,Middlesex County,CT,US,town,Joseph Willcox | S Morgan
282,Joseph Skiffe | Joseph Skiffe Adminastrator to E C | Joseph Skiffe Adminastrator to E Carey,Joseph,Skiffe,Windham,Windham County,CT,US,town,Ezekiel Carey | Joseph Skiffe
284,Joseph Skiffe | Joseph Skiffe Adminastrator to R S | Joseph Skiffe Adminastrator to R Skiffe,Joseph,Skiffe,Windham,Windham County,CT,US,town,Joseph Skiffe | Ruth Skiffe
304,Alpha Lommis adminastrator and Co | Appha Loomis | Appha Loomis Adminastrator and Co,Appha,Loomis,,,CT,US,state,Alpha Lommis
323,Daniel and Elijah Boardman,Daniel and Elijah,Boardman,New Milford,Litchfield County,CT,US,town,Daniel Boardman | Elijah Boardman
332,Wheeler Coit Treasurer and Co,,,,,CT,US,state,Wheeler Coit
338,Elisha Stoughton | Elisha Stoughton School Committee | Elisha Stoughton Society Committee,Elisha,Stoughton,Windsor,Hartford County,CT,US,town,Elisha Stoughton
343,Hon William Hillhouse School Committee | William Hillhouse | William Hillhouse School Committee,William,Hillhouse,Montville,New London County,CT,US,town,William Hillhouse
344,Hon Joseph P Cooke School Committee | Joseph P Cooke | Joseph P Cooke School Committee,Joseph P,Cooke,Danbury,Fairfield County,CT,US,town,Joseph P Cooke
361,Clark and Nightingale,Clark and Nightingale,,Providence,Providence County,RI,US,town,Joseph Innes Clark | Joseph Nightingale
382,Dan and Elijah Boardman | Daniel and Elijah Boardman,Daniel and Elijah,Boardman,New Milford,Litchfield County,CT,US,town,Dan Boardman | Daniel Boardman | Elijah Boardman
409,Jon and Jacob Starr | Jonathan and Jared Starr,Jonathan and Jared,Starr,New London,New London County,CT,US,town,Jacob Starr | Jared Starr | Jonathan Starr
425,Samuel Smith | Samuel Smith of Chatham,Samuel,Smith,East Hampton,Middlesex County,CT,US,town,Samuel Smith
434,Samuel Smith | Samuel Smith of Farmington,Samuel,Smith,Farmington,Hartford County,CT,US,town,Samuel Smith
452,Thaddeus Betts | Thaddeus Betts Treasurer and Co,Thaddeus,Betts,Norwalk,Fairfield County,CT,US,town,Thaddeus Betts
537,John Gillet | John Gillet of Vermont,John,Gillet,,,VT,US,state,John Gillet
548,Samuel and Timothy Burr,Samuel and Timothy,Burr,Hartford,Hartford County,CT,US,town,Samuel Burr | Timothy Burr
598,Barnabas Deane and J Wadsworth | Barnabas Deane and Jeremiah Wadsworth,Barnabas Deane and Jeremiah Wadsworth,,Hartford,Hartford County,CT,US,town,Barnabas Deane | Jeremiah Wadsworth
645,Benjamin Tallmadge | Benjamin Tallmadge Treasurer and Co | Benjamin Talmage Treasurer and Co,Benjamin,Tallmadge,,,CT,US,state,Benjamin Tallmadge | Benjamin Talmage
712,Dan and Elijah Boardman | Daniel and Elijah Boardman | Daniel and Elijah Boradman,Daniel and Elijah,Boardman,New Milford,Litchfield County,CT,US,town,Daniel Boardman | Elijah Boardman
724,Michael and Thomas Bull,Michael and Thomas,Bull,Hartford,Hartford County,CT,US,town,Michael Bull | Thomas Bull
727,Elias and Jeremiah Cowles,Elias and Jeremiah,Cowles,Farmington,Hartford County,CT,US,town,Elias Cowles | Jeremiah Cowles
731,Dan and E Boardman | Daniel and Elijah Boardman,Daniel and Elijah,Boardman,New Milford,Litchfield County,CT,US,town,Daniel Boardman | Elijah Boardman
735,Oliver Mather | Oliver Mather Treasurer,Oliver,Mather,Windsor,Hartford County,CT,US,town,Oliver Mather
740,Francis Brown | Francis Brown of Cornwall,Francis,Brown,New Haven,New Haven County,CT,US,town,Francis Brown
801,John Williams | John Williams of Wethersfield,John,Williams,Wethersfield,Hartford County,CT,US,town,John Williams
873,John Dodd and John Porter,John Dodd and John Porter,,,,CT,US,state,John Dodd | John Porter
909,Hannah Cooke | Hannah Cooke Adminastrator and Co,Hannah,Cooke,,,CT,US,state,Hannah Cooke
921,State of Connecticut,State of Connecticut,,,,CT,US,state,State Of Connecticut
926,Amasa and Elnathan Keyes,Amasa and Elnathan,Keyes,,,CT,US,state,Amasa Keyes | Elnathan Keyes
961,Horace and Seth Johnson and Co,,,,,CT,US,state,Horace Johnson | Seth Johnson
979,Michael and Thomas Bull,,,,,CT,US,state,Michael Bull | Thomas Bull
987,Daniel and Elijah Boardman,,,,,CT,US,state,Daniel Boardman | Elijah Boardman
991,State of Connecticut,,,,,CT,US,state,State Of Connecticut
1008,Treasurer of the Cincinnati Society of Georgia ,Treasurer of the Cincinnati Society of Georgia,,,,GA,US,state,Treasurer Of The Cincinnati Society Of Georgia
1022,The Elders of the Congregation ,The Elders of the Congregation,,Charleston,Charleston County,SC,US,town,The Elders Of The Congregation
1071,The State of Georgia,The State of,Georgia,,,GA,US,state,The State Of Georgia
1072,Uriah Forrest and Benjamin Stoddert,Uriah Forrest and,Benjamin Stoddert,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1086,Jacob Walter | Jacob Walters | Jacob Walters Excrs of Sebret Sollars,Jacob,Walter,,Baltimore County,MD,US,county,Jacob Walter | Sebret Sollars
1117,The Trustees of Frederick County | The Trustees of Frederick County Poor | Trustees of Frederick County poor,The Trustees of Frederick County,,,Frederick County,MD,US,county,The Trustees Of Frederick County | The Trustees Of Frederick County Poor | Trustees Of Frederick County Poor
1190,Charles Carroll of Carrolton,Charles Carroll of Carrolton,,Annapolis,Anne Arundel County,MD,US,town,Charles Carroll
1200,Wallace and Muir,Wallace and Muir,,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1201,Wallace and Muir,,,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1203,Henry Zealor and Margaret Fisher | Zealor E Fisher,Henry Zealor  and Margaret Fisher,,,Frederick County,MD,US,county,Henry Zealor | Margaret Fisher
1206,Wallace Muir | Wallace and Muir,Wallace and Muir,,Annapolis,Anne Arundel County,MD,US,town,Charles Wallace | John Muir
1272,Uriah Forrest and Benjamin Stoddert,Uriah Forrest and Benjamin Stoddert,,Georgetown,Cecil County,MD,US,town,Benjamin Stoddert | Uriah Forrest
1307,John Jordans Estate | John Jordon | The Estate of John Jordon,John,Jordon,,,MD,US,state,John Jordon
1315,John Gale | John Gale Execr of Ebenezer Finlays,John,Gale,,,MD,US,state,Ebenezer Finlays | John Gale
1345,John Archer | John Archer Excr of Moses Ruth,John,Archer,,Harford County,MD,US,county,John Archer | Moses Ruth
1369,Lawrance Brangle and Jacob Gombare | Lawrence Brangle and Jacob Gombar | Lawrence Brangle and Jacob Gombare,Lawrance Brangle and Jacob Gombare,,,Frederick County,MD,US,county,Jacob Gombare | Lawrence Brangle
1384,Charles Stuart and James McCulloch,Charles Stuart and James McCulloch,,,Anne Arundel County,MD,US,county,Charles Stuart | James Mcculloch
1438,Samuel John and Thomas Snowden,Samuel John and Thomas Snowden,,,Prince Georges County,MD,US,county,Samuel John | Thomas Snowden
1449,Thomas and Benjamin Harwood | William Harwood,William,Harwood,Annapolis,Anne Arundel County,MD,US,town,Benjamin Harwood | Thomas Harwood | William Harwood
1451,Margery Whitaker | Margery Whitaker Adm of Robert Whitaker,Margery,Whitaker,,Prince Georges County,MD,US,county,Margery Whitaker | Robert Whitaker
1452,Thomas Harwwod and Benjamin Harwood | Thomas and Benjamin Harwood,Thomas and Benjamin Harwood,,Annapolis,Anne Arundel County,MD,US,town,Benjamin Harwood | Thomas Harwood
