,Full Name,state,Total
0,'Arnoldus Vanderhorst,SC,2370.94
1,'Bayard,VA,830.27
2,'Calhoun,SC,212.82
3,'Charles Sampson,RI,84.43
4,'Cleverly,RI,304.71
5,'Crowly,SC,83.33
6,'David L Barnes,RI,186.75
7,'Deborah Wharton,PA,1000.0
8,'Distressed Presbyterian Ministers,PA,29573.76
9,'Dundor,VA,107.73
10,'Dykes,VA,928.15
11,'E Boardman,CT,1396.27
12,'Elnathan Keyes,CT,266.67
13,'Evens,PA,255.21
14,'Forde,PA,3441.43
15,'Frances from the Register of the Treasury,RI,27100.84
16,'Francis,RI,720.0
17,'Francis Atkinson,NY,13628.79
18,'Frederick Williams,RI,158.12
19,'Graves,SC,225.0
20,'Hammond,RI,85.67
21,'Higbee,VA,27505.29
22,'Horace',SC,872.22
23,'Hugh Irvin,SC,31.62
24,'Jacob Gombar,MD,47.65
25,'Jacob Starr,CT,28.62
26,'James McCulloch,MD,8121.73
27,'James Reid,VA,539.55
28,'Jeremiah Cowles,CT,223.21
29,'John,PA,7098.07
30,'Joseph Vesey,SC,3719.99
31,'Kelly,VA,84.37
32,'Keyes,CT,45.83
33,'Lewis,PA,5027.16
34,'Lindey,VA,7711.39
35,'Lott,VA,107.02
36,'Low,RI,65.68
37,'Malfeson,PA,860.0
38,'Mariamne,PA,1026.66
39,'Mary College,VA,506.8
40,'McKean,MD,1330.16
41,'Mease,PA,700.77
42,'Muir,MD,38624.9
43,'Nicholas Brown transferred,RI,6480.58
44,'Nightingale,CT,33290.0187
45,'Nightingale Register,RI,267.61
46,'Nightingale transferred,RI,495.83
47,'Philip Mark,NY,1070.16
48,'R Newell Administrator,RI,66.54
49,'Richard Hart,CT,181.07
50,'Robert Andrews treasuer,VA,59.4
51,'Robert McIntosh Executors,VA,237.71
52,'Robert Mease,VA,316.86
53,'Robert Newell,RI,608.93
54,'Rogers,NY,63683.94
55,'S  Johnson,SC,872.22
56,'S Johnson,NY,3002.76
57,'Snow,RI,691.14
58,'Stenvarts,NY,2448.15
59,'Stephen Hall,CT,330.74
60,'Stewarts,NY,11250.44
61,'Swanwick,PA,2833.16
62,'Thomas Bull,CT,112.87
63,'Turpin,SC,20.01
64,'Valiant,PA,2077.3
65,'William,PA,128.12
66,A McWhoker,NY,340.7
67,Aaron Bourn,RI,309.55
68,Aaron Cadwell II,CT,13.88
69,Aaron Colvin,RI,79.05
70,Aaron Forbes,CT,9230.0
71,Aaron Kitchel,PA,276.0
72,Aaron Loocock,SC,1700.0
73,Aaron Malich,PA,282.21
74,Aaron Mason,RI,169.97
75,Aaron Olmsted,CT,35.41
76,Abbey Willing,PA,2169.3
77,Abgail Ellsworth,CT,848.46
78,Abiel Smith,RI,972.53
79,Abigail Ash,PA,198.66
80,Abigail Ball,NH,149.81
81,Abigail Bulkley,CT,555.93
82,Abigail Keyes,CT,154.44
83,Abigail Minis,GA,30.130266
84,Abigail Prime,NH,108.28
85,Abigail Robbins,CT,93.19
86,Abigail Watson,CT,2065.2
87,Abner Andruss,CT,59.66
88,Abner Butler,RI,17.72
89,Abner Daggett,RI,1525.42
90,Abner Johnson,CT,337.83
91,Abner Sage,CT,39.33
92,Abner Whitney,VA,196.71
93,Abraham Barker,RI,21.3
94,Abraham Belknap transferred from Register,RI,6.86
95,Abraham Sheridan,PA,156.22
96,Abraham Van Duerson,NY,2465.52
97,Abraham Venabb,VA,1691.15
98,Abraham Walker,RI,196.66
99,Abrham Blumer,PA,182.33
100,Absalom Redgely,MD,3624.9
101,Achilles Mansfield,CT,300.0
102,Adam Craig,VA,4052.88
103,Adam Crain Jones,SC,72.63
104,Adam Gilchrist,GA,56336.5188
105,Adam Harbeson,PA,373.15
106,Adrian Valck,MD,13205.24
107,Agness Grier,PA,900.48
108,Agness ann,PA,883.63
109,Albert Aerny Muller,SC,12.54
110,Alexander Bose,GA,6.9962
111,Alexander Buchanan,VA,859.21
112,Alexander Fowler,SC,83.57
113,Alexander Gillon,SC,80.0
114,Alexander Hamilton,MD,4778.24
115,Alexander J Dallas,PA,24.38
116,Alexander McRobert,VA,504.51
117,Alexander Nelson,NC,31.56
118,Alexander Rose,SC,1490.09
119,Alexander Warfield,MD,167.25
120,Alfred Elderkin,CT,4.72
121,Alida Van Renselear,NY,767.72
122,Allen Boys,PA,10.68
123,Alpha Child,CT,65.87
124,Amarinthia Elliott,SC,546.88
125,Amasa Keyes,CT,243.69
126,Amasa Keyes',CT,266.67
127,Amasa Learned,RI,400.0
128,Amaziah Chappel,CT,3.26
129,Amme Bucklin,RI,89.01
130,Amos Attwell,RI,233.34
131,Amos Horton,RI,1999.99
132,Amos Lockwood,RI,50.05
133,Amos Lyon,CT,612.31
134,Amos Moody,NH,96.25
135,Amos Throop,RI,1662.65
136,Amos Throop Transfer,RI,843.37
137,Amos White,CT,536.05
138,Ananias Cooper,SC,1229.84
139,Andew Brown,RI,426.48
140,Andrew Baille,MD,8.46
141,Andrew Clow,PA,21966.25
142,Andrew Craigie,NY,1588.6
143,Andrew Douglass,PA,515.26
144,Andrew Dunscomb,VA,27556.95
145,Andrew Elliott,RI,147.71
146,Andrew Leiper,VA,58.81
147,Andrew McFarlane,PA,662.66
148,Andrew Pettit,PA,1279.66
149,Andrew Reid,VA,108.1
150,Andrew Rowland,CT,351.27
151,Andrew Shepherd,VA,47.1
152,Andrew Waterman,RI,196.62
153,Ann Brodean,PA,615.18
154,Ann Burt,RI,300.0
155,Ann Cook,PA,189.33
156,Ann Cordes,SC,254.58
157,Ann Cuttino,SC,24.99
158,Ann Forde,PA,112.32
159,Ann Fromberger,PA,6400.08
160,Ann Gaither,MD,292.66
161,Ann Garston,MD,25.2
162,Ann Gibson,PA,1962.34
163,Ann Henry,PA,1462.16
164,Ann Maccubin,MD,600.0
165,Ann Milner,SC,38.71
166,Ann Moratt,PA,426.91
167,Ann Price,GA,2771.872726
